,returns,weight,pnl,equity,var_1d,abs_return
2017-10-09,-0.0016524022616195566,2.0,-0.0033048045232391132,1.975552891045324,0.006876300502620339,0.0033048045232391132
2017-10-10,0.0026347878023074145,2.0,0.005269575604614829,1.9859632163656027,0.0070236690351556,0.005269575604614829
2017-10-11,0.0015698259180219054,2.0,0.003139651836043811,1.9921984494241805,0.007122768782705131,0.003139651836043811
2017-10-12,-0.001491128942805453,2.0,-0.002982257885610906,1.9862571998886833,0.005098967418876739,0.002982257885610906
2017-10-13,0.0012167563991400954,2.0,0.0024335127982801907,1.9910907822052886,0.005012395051125809,0.0024335127982801907
2017-10-16,0.001332410560115349,2.0,0.002664821120230698,1.9963966829740059,0.005261277790191677,0.002664821120230698
2017-10-17,0.0007047600111125263,2.0,0.0014095200222250526,1.9992106440709614,0.005255946137597851,0.0014095200222250526
2017-10-18,0.0009781577383538576,2.0,0.001956315476707715,2.003121730795156,0.005313369323086292,0.001956315476707715
2017-10-19,0.0002738190667193052,2.0,0.0005476381334386105,2.004218716640859,0.005299326237387734,0.0005476381334386105
2017-10-20,0.005147027045335761,2.0,0.010294054090671523,2.0248502525194962,0.005303127714450677,0.010294054090671523
2017-10-23,-0.0038968198365259,2.0,-0.0077936396730518,2.009069299259471,0.005314820905210576,0.0077936396730518
2017-10-24,0.0017555060682408197,2.0,0.0035110121364816393,2.016123165952204,0.005305714855604829,0.0035110121364816393
2017-10-25,-0.00496245009323637,2.0,-0.00992490018647274,1.996113344766493,0.006041931571882843,0.00992490018647274
2017-10-26,0.0012919194294171987,2.0,0.0025838388588343975,2.0012709799933384,0.005723183415334562,0.0025838388588343975
2017-10-27,0.008142925137146761,2.0,0.016285850274293523,2.0338633795317986,0.006706672007160287,0.016285850274293523
2017-10-30,-0.003732097563090342,2.0,-0.007464195126180684,2.01868222640698,0.0064924790429405485,0.007464195126180684
2017-10-31,0.0015568127624758787,2.0,0.0031136255249517575,2.024967646913887,0.007551404591545144,0.0031136255249517575
2017-11-01,0.0013210867660378156,2.0,0.002642173532075631,2.0303179628338723,0.007909047004317589,0.002642173532075631
2017-11-02,0.0003885652266237827,2.0,0.0007771304532475654,2.031895784752566,0.007634985826718444,0.0007771304532475654
2017-11-03,0.00333302936862534,2.0,0.00666605873725068,2.045440521401699,0.0075825787537992075,0.00666605873725068
2017-11-06,0.0015463110621407594,2.0,0.003092622124281519,2.0517662960120875,0.007557162818117514,0.003092622124281519
2017-11-07,-0.0006952847484500424,2.0,-0.0013905694969000848,2.0489131723860856,0.007130680359901414,0.0013905694969000848
2017-11-08,0.0016991432284321206,2.0,0.0033982864568642412,2.055875966271096,0.007078973396825877,0.0033982864568642412
2017-11-09,-0.003634004989840456,2.0,-0.007268009979680912,2.0409338392312515,0.007004405819961671,0.007268009979680912
2017-11-10,-0.00031011463351671154,2.0,-0.0006202292670334231,2.0396679923320815,0.006962401008425898,0.0006202292670334231
2017-11-13,0.0009293135642876038,2.0,0.0018586271285752076,2.0434589745959166,0.007369855631153521,0.0018586271285752076
2017-11-14,-0.002324939018859773,2.0,-0.004649878037719546,2.033957139588962,0.007285745132775732,0.004649878037719546
2017-11-15,-0.005017935951738828,2.0,-0.010035871903477656,2.0135446062788835,0.007273301034833333,0.010035871903477656
2017-11-16,0.008465186316064965,2.0,0.01693037263212993,2.0476346667746004,0.007425899090837082,0.01693037263212993
2017-11-17,-0.002943352002026778,2.0,-0.005886704004053556,2.0355808475828594,0.00798803838888714,0.005886704004053556
2017-11-20,0.0017050838966321535,2.0,0.003410167793264307,2.042522519829872,0.009169740559370216,0.003410167793264307
2017-11-21,0.006521484805836586,2.0,0.013042969611673172,2.069163078987171,0.009317429463108153,0.013042969611673172
2017-11-22,-0.0008851403782790257,2.0,-0.0017702807565580514,2.06550007940626,0.008892724522325837,0.0017702807565580514
2017-11-24,0.002307192971055194,2.0,0.004614385942110388,2.0750310939361,0.009155170739104669,0.004614385942110388
2017-11-27,-0.0004993264485317894,2.0,-0.0009986528970635788,2.0729588581226435,0.009139829208070268,0.0009986528970635788
2017-11-28,0.01009372401793307,2.0,0.02018744803586614,2.1148066073514826,0.008600770081004462,0.02018744803586614
2017-11-29,-0.0006090320534131166,2.0,-0.0012180641068262332,2.112230637330189,0.008642695427317012,0.0012180641068262332
2017-11-30,0.008716920325721134,2.0,0.017433840651442267,2.149054929680498,0.009200418881087658,0.017433840651442267
2017-12-01,-0.0020776776668620656,2.0,-0.004155355333724131,2.140124842815984,0.008853692243893641,0.004155355333724131
2017-12-04,-0.001210379850916432,2.0,-0.002420759701832864,2.1349441148396036,0.009783636740862838,0.002420759701832864
2017-12-05,-0.0036034079312443623,2.0,-0.007206815862488725,2.1195579657272505,0.009939710560485896,0.007206815862488725
2017-12-06,0.00019025930666405344,2.0,0.0003805186133281069,2.1203644969852378,0.009988128420278781,0.0003805186133281069
2017-12-07,0.0031476568060275767,2.0,0.006295313612055153,2.1337128564656274,0.010213810356666714,0.006295313612055153
2017-12-08,0.005438781594947706,2.0,0.010877563189895412,2.1569224528909245,0.010175137988197277,0.010877563189895412
2017-12-11,0.00300831805883206,2.0,0.00601663611766412,2.169899870423989,0.010197850858793088,0.00601663611766412
2017-12-12,0.0017630484187556306,2.0,0.003526096837511261,2.177551147494807,0.01046417880672423,0.003526096837511261
2017-12-13,-0.00011215309425161024,2.0,-0.00022430618850322048,2.1770627092966413,0.010120981416826347,0.00022430618850322048
2017-12-14,-0.004094644336425368,2.0,-0.008189288672850736,2.1592341143113125,0.01006637350260419,0.008189288672850736
2017-12-15,0.008292939187735549,2.0,0.016585878375471097,2.195046908715448,0.010099877847376676,0.016585878375471097
2017-12-18,0.006321235953362425,2.0,0.01264247190672485,2.222797727592826,0.010347375430156668,0.01264247190672485
2017-12-19,-0.003848133388998143,2.0,-0.007696266777996286,2.2056904832877477,0.01029639631048138,0.007696266777996286
2017-12-20,-0.000524047318783083,2.0,-0.001048094637566166,2.203378710920083,0.009938837404064885,0.001048094637566166
2017-12-21,0.0020574848502645793,2.0,0.0041149697005291586,2.21244554755431,0.010088258102997488,0.0041149697005291586
2017-12-22,-0.0002614582301685431,2.0,-0.0005229164603370862,2.2112886233598945,0.01017386394214856,0.0005229164603370862
2017-12-26,-0.0011968412009526475,2.0,-0.002393682401905295,2.2059955006966248,0.009823051789336363,0.002393682401905295
2017-12-27,0.00048644422851928937,2.0,0.0009728884570385787,2.2081416882555316,0.009789462915729798,0.0009728884570385787
2017-12-28,0.0020551899693437292,2.0,0.0041103799386874584,2.2172179895527164,0.009901640367543095,0.0041103799386874584
2017-12-29,-0.0037775229338059546,2.0,-0.007555045867611909,2.2004668059431514,0.009858024109370095,0.007555045867611909
