,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1
2015-11-04,-0.042868802988364055,,,,0.0021059604806121512
2015-11-05,-0.03941379403137525,,,,0.0009365966880310189
2015-11-06,-0.03689913667871332,,,,-0.0005712515605138108
2015-11-09,-0.025610696270399955,,,,0.008074132936563796
2015-11-10,-0.02591974121082105,,,,0.00010380758583593275
2015-11-11,-0.02356705877534082,,,,-0.0016500796737833612
2015-11-12,-0.00965917422981441,,,,0.010801799990352703
2015-11-13,-0.019807598262085266,,,,-0.004349145172102373
2015-11-16,-0.012357347594772305,,,,0.009666830327932752
2015-11-17,-0.0195590350840443,,,,-0.0011661247077637549
2015-11-18,-0.005097830054649755,,,,0.008880487595899295
2015-11-19,-0.015435945766452852,,,,-0.004037731294858238
2015-11-20,-0.021644919899975773,,,,-0.011983000357641688
2015-11-23,-0.022756316592138365,,,,-0.004511240642420589
2015-11-24,-0.018717253144474144,,,,0.000566510934991174
2015-11-25,-0.014747842371027955,,,,0.00043239856339785665
2015-11-27,-0.016705216841894327,,,,-0.005944598250388025
2015-11-30,-0.011755517582764635,,,,0.0014341884006850159
2015-12-01,-0.00550044629415411,,,,0.00340319427579637
2015-12-02,-0.00848067029919368,,,,-0.0019021719656912434
2015-12-03,-0.0025473580165816523,,,,0.007879852887344968
2015-12-04,0.008210410338323093,,,,0.01674614774814656
2015-12-07,-0.005704216754700203,,,,-0.0016017031183115371
2015-12-08,-0.001253439978381704,,,,-0.0008166077889084633
2015-12-09,-1.7591659548704675e-05,,,,-0.002967594713584959
2015-12-10,0.00143156512482423,,,,-0.0009692284222423408
2015-12-11,0.019186165108525582,,,,0.013092715983448272
2015-12-14,-0.0013290636905244624,,,,-0.007334216310689368
2015-12-15,0.0014013114520655956,,,,-0.001756950654121514
2015-12-16,7.726780409308964e-05,,,,-0.0012398743400770518
2015-12-17,0.004066611553919075,,,,0.009189036352328678
2015-12-18,-0.001607203852936362,,,,-0.0006868511990961446
2015-12-21,-0.00738238648045042,,,,0.0024921273066241256
2015-12-22,-0.001963419693813362,,,,0.0017773606405445674
2015-12-23,0.005837688665381063,,,,0.004916895378986791
2015-12-24,0.0043054825211209236,,,,-0.0014754079156841793
2015-12-28,0.00957216830001456,,,,-0.0009069673126649302
2015-12-29,0.018648870658268535,,,,0.0035566022378778206
2015-12-30,0.01945187753537375,,,,0.00031243174988104805
2015-12-31,0.021345351903714976,,,,-0.0012664538687603977
2016-01-04,0.024278395581101397,,,,0.002581293711005961
2016-01-05,0.014325714558734715,,,,-0.0059102796932076485
2016-01-06,0.008185575319989508,,,,-0.010507877906952678
2016-01-07,0.021663943160762617,,,,0.01798984286288899
